Neighborhood,Number of Permits
College Park,3165
Engelwood Park,1297
Colonialtown North,974
Lake Nona Central,824
Lake Como,813
Thornton Park,802
Northlake Park at Lake Nona,714
Baldwin Park,681
Conway Acres,660
South Eola,621
Ventura,618
Southeast Orlando Airport Area,568
Rosemont,546
Washington Shores,532
Lake Mann Estates,530
Dover Shores West,526
Rock Lake,502
Vista East,493
Baldwin Park Village Center,491
Lake Underhill,460
Orwin Manor,455
Lake Nona Estates,448
Richmond Heights,424
Southport,403
Pine Hills,401
Engelwood Park South,395
Parramore,383
Lawsona/Fern Creek,375
Lorna Doone,370
Bryn Mawr,365
Bel Air,353
Audubon Park,345
Dubsdread,343
Crescent Park,320
Mercy Drive,314
Pine Castle,301
Eagles Nest,6
Lake Shore Village,5
Beltway Commerce Center,4
Orlando Executive Airport,2
